ID,Study,Experiment,Entered.by,Host,Host.type,Parasite,Parasite.type,Study.type,X_gradient,Gradient.category,Trait,Trait.type,Trait.category,Gradient.as.predicted,Statistics,Level_C,Level_X,N_C,N_X,Mean_C,Variation_C,Lwr_C,Upr_C,Mean_X,Variation_X,Lwr_X,Upr_X,Success_C,Success_X,Variation.Type,OR,OR_SE,OR_N,F_X,F_df,Chi2,Chi2_df,Slope,R,R_N,R_df,Slope_SE,Z_X,Z_N,Z_df,Z_SE,Data_source,Comment
63,Conroy et al. 2016 Environ Entomol,13,BW,Bombus impatiens,Arthropod,Crithidia sp.,Protozoan,Experimental,Sugar limitation,Resource,Parasite load (ln (cell count + 1)),Intensity,Epidemiological,yes,Comparison,High_sugar,Low_sugar,84,68,3.46,0.2,,,3.1,0.31,,,,,SE,,,,,,,,,,,,,,,,,Results p1,"Sample sizes are approximate (Data Analysis section), as given (+/- 2), Survival and parasite load measured 7 days post inoculation"
64,Conroy et al. 2016 Environ Entomol,13,BW,Bombus impatiens,Arthropod,Crithidia sp.,Protozoan,Experimental,Pollen limitation,Resource,Survival,Survivorship,Infected demographic,yes,Chi square/Contingeny table,With_pollen,Without_pollen,110,110,,,,,,,,,81,68,OR,,,,,,3.53,,,,,,,,,,,Table 2 and digitized from Fig 2,Contingency table for last day of the study. Survival and parasite load measured 7 days post inoculation. Includes results from high and low sugar
65,Conroy et al. 2016 Environ Entomol,13,BW,Bombus impatiens,Arthropod,Crithidia sp.,Protozoan,Experimental,Sugar limitation,Resource,Survival,Survivorship,Infected demographic,yes,Chi square/Contingeny table,High_sugar,Low_sugar,110,110,,,,,,,,,85,64,OR,,,,,,7.22,,,,,,,,,,,Table 2 and digitized from Fig 2,Contingency table for last day of the study. Survival and parasite load measured 7 days post inoculation. Includes results with and without pollen supplement
66,Kantzow et al. 2016 Aquacult Environ Interact,14,BW,Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Temperature,Environment,Parasite load (Log10 genome copies),Intensity,Epidemiological,yes,Comparison,Cool_18C,Warm_26C,23,112,4.00899,0.123402,,,4.778791,0.057952,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Gradient direction only implicit in paper. Sample size in Table 1,effects from 22C and 26C should be combined. Parasite load measured after death durin 14 d trial"
67,Kantzow et al. 2016 Aquacult Environ Interact,14,BW,Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Temperature,Environment,Parasite load (Log10 genome copies),Intensity,Epidemiological,yes,Comparison,Cool_18C,Warm_22C,23,98,4.00899,0.123402,,,4.688946,0.046272,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Gradient direction only implicit in paper. Sample size in Table 1,effects from 22C and 26C should be combined. Parasite load measured after death durin 14 d trial"
68,Kantzow et al. 2016 Aquacult Environ Interact,14,BW,Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Temperature,Environment,Survival,Survivorship,Infected demographic,yes,Contingency table,Cool_18C,Warm_26C,120,120,,,,,,,,,92,8,OR,,,,,,,,,,,,,,,,,Digitized from Figure 2,"Gradient direction only implicit in paper. HR in Table 2 are for Low and High dose separately, those categories are not available for Epidemiologicaleffect, effects from 22C and 26C should be combined, survival measured at 14 days post infection"
69,Kantzow et al. 2016 Aquacult Environ Interact,14,BW,Crassostrea gigas,Mollusc,Ostreid herpesVirus1,Virus,Experimental,Temperature,Environment,Survival,Survivorship,Infected demographic,yes,Contingency table,Cool_18C,Warm_22C,120,120,,,,,,,,,92,16,OR,,,,,,,,,,,,,,,,,Digitized from Figure 2,"Gradient direction only implicit in paper. HR in Table 2 are for Low and High dose separately, those categories are not available for Epidemiologicaleffect, effects from 22C and 26C should be combined, survival measured at 14 days post infection"
70,Kristan et al. 2016 Parasites & Vectors,15,BW,Anopheles gambiae,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Deltamethrin,Toxin,Prevalence rate,Prevalence,Epidemiological,yes,Comparison,Control_LowT,Low_dose_LowT,185,77,0.880851,,0.7707,0.943481,0.7527,,0.552556,0.8808495,,,logistic95CI,,,,,,,,,,,,,,,,,Digitized from Figure 2,"Effects from low and high dose should be combined.Sample size not disclosed for infection intensity results, prevalence measured at 7 days post infection"
71,Kristan et al. 2016 Parasites & Vectors,15,BW,Anopheles gambiae,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Deltamethrin,Toxin,Prevalence rate,Prevalence,Epidemiological,yes,Comparison,Control_LowT,High_dose_LowT,185,97,0.880851,,0.7707,0.943481,0.648311,,0.531681,0.7476633,,,logistic95CI,,,,,,,,,,,,,,,,,Digitized from Figure 2,"Effects from low and high dose should be combined.Sample size not disclosed for infection intensity results, prevalence measured at 7 days post infection"
72,Kristan et al. 2016 Parasites & Vectors,15,BW,Anopheles gambiae,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Deltamethrin,Toxin,Prevalence rate,Prevalence,Epidemiological,yes,Comparison,Control_HighT,Low_dose_HighT,165,31,0.562741,,0.38745,0.716473,0.387929,,0.192531,0.6235651,,,logistic95CI,,,,,,,,,,,,,,,,,Digitized from Figure 2,"Effects from low and high dose should be combined.Sample size not disclosed for infection intensity results, prevalence measured at 7 days post infection"
73,Kristan et al. 2016 Parasites & Vectors,15,BW,Anopheles gambiae,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Deltamethrin,Toxin,Prevalence rate,Prevalence,Epidemiological,yes,Comparison,Control_HighT,High_dose_HighT,165,137,0.562741,,0.38745,0.716473,0.372607,,0.19732,0.5909943,,,logistic95CI,,,,,,,,,,,,,,,,,Digitized from Figure 2,"Effects from low and high dose should be combined.Sample size not disclosed for infection intensity results, prevalence measured at 7 days post infection"
74,Kristan et al. 2016 Parasites & Vectors,15,BW,Anopheles gambiae,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Deltamethrin,Toxin,Mortality,Survivorship,Infected demographic,yes,Comparison,Control,Low_dose,387,160,9.618769,,7.214076,12.66862,32.43402,,19.47214,48.973606,,,logistic95CI,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Sample size not disclosed for infection intensity results, mortality measured at 7 days post infection"
75,Kristan et al. 2016 Parasites & Vectors,15,BW,Anopheles gambiae,Arthropod,Plasmodium falciparum,Protozoan,Experimental,Deltamethrin,Toxin,Mortality,Survivorship,Infected demographic,yes,Comparison,Control,High_dose,387,234,9.618769,,7.214076,12.66862,35.60117,,27.56598,44.457478,,,logistic95CI,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Sample size not disclosed for infection intensity results, mortality measured at 7 days post infection"
76,Marino 2016 Parasitol Res,16,BW,Rana clamitans,Amphibian,Echinostoma revolutum,Helminth,Experimental,Food level,Resource,Parasite load (number of metacercariae),Intensity,Epidemiological,yes,Comparison,High_food,Low_food,7,7,111.4,10.6,,,42.2,5,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 1b,"Author presents both gradient directions as alternative hypotheses. Sample size in methods section, parasite load and survival measured after 3 weeks"
77,Marino 2016 Parasitol Res,16,BW,Rana clamitans,Amphibian,Echinostoma revolutum,Helminth,Experimental,Food level,Resource,Survival,Survivorship,Infected demographic,yes,Comparison,High_food,Low_food,7,7,80.02378,5.945306,,,68.37099,8.68014,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 1d,"Author presents both gradient directions as alternative hypotheses. Sample size in methods section, parasite load and survival measured after 3 weeks"
78,Marino 2016 Parasitol Res,16,BW,Rana clamitans,Amphibian,Echinostoma revolutum,Helminth,Experimental,Food level,Resource,Survival,Survivorship,Uninfected demographic,yes,Comparison,High_food,Low_food,7,7,0.89686424,0.0474714,,,0.9324812,0.0316518,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 1d,"Author presents both gradient directions as alternative hypotheses. Sample size in methods section, parasite load and survival measured after 3 weeks"
79,Purcell et al. 2016 J Fish Diseases,17,BW,Oncorhynchus tshawytscha,Fish,Renibacterium salmoninarum,Bacteria,Experimental,Temperature,Environment,Parasite load (log 10 copies per gram),Intensity,Epidemiological,no,Comparison,Normal_12C,Low_8C,10,11,2.83522,0.3072,,,3.340813,0.2944,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Figure 1a,"Gradient not as predicted because authors compare cool and warm temperatures against a ""common intermediate temperature"" to which hosts were previously acclimated. Parasite load digitized at 112 dpi, survival was recorded at 120 dpi."
80,Purcell et al. 2016 J Fish Diseases,17,BW,Oncorhynchus tshawytscha,Fish,Renibacterium salmoninarum,Bacteria,Experimental,Temperature,Environment,Parasite load (log 10 copies per gram),Intensity,Epidemiological,no,Comparison,Normal_12C,High_15C,10,6,2.83522,0.3072,,,2.208013,0.1472067,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Figure 1a,"Gradient not as predicted because authors compare cool and warm temperatures against a ""common intermediate temperature"" to which hosts were previously acclimated. Parasite load digitized at 112 dpi, survival was recorded at 120 dpi."
81,Purcell et al. 2016 J Fish Diseases,17,BW,Oncorhynchus tshawytscha,Fish,Renibacterium salmoninarum,Bacteria,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,no,Contingency table,Normal_12C,Low_8C,16,16,,,,,,,,,10,11,OR,,,,,,,,,,,,,,,,,Figure 1a,"Gradient not as predicted because authors compare cool and warm temperatures against a ""common intermediate temperature"" to which hosts were previously acclimated."
82,Purcell et al. 2016 J Fish Diseases,17,BW,Oncorhynchus tshawytscha,Fish,Renibacterium salmoninarum,Bacteria,Experimental,Temperature,Environment,Infection prevalence,Prevalence,Epidemiological,no,Contingency table,Normal_12C,High_15C,16,16,,,,,,,,,6,11,OR,,,,,,,,,,,,,,,,,Figure 1a,"Gradient not as predicted because authors compare cool and warm temperatures against a ""common intermediate temperature"" to which hosts were previously acclimated."
83,Purcell et al. 2016 J Fish Diseases,17,BW,Oncorhynchus tshawytscha,Fish,Renibacterium salmoninarum,Bacteria,Experimental,Temperature,Environment,Survival,Survivorship,Infected demographic,no,Comparison,Normal_12C,Low_8C,2,2,78.89258,8.54454,,,60.95752,8.67825,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Figure 2a,"Gradient not as predicted because authors compare cool and warm temperatures against a ""common intermediate temperature"" to which hosts were previously acclimated. Error type not explicit in figure legend, SD used in Fig 1 and assumed here"
84,Purcell et al. 2016 J Fish Diseases,17,BW,Oncorhynchus tshawytscha,Fish,Renibacterium salmoninarum,Bacteria,Experimental,Temperature,Environment,Survival,Survivorship,Infected demographic,no,Comparison,Normal_12C,High_15C,2,2,78.89258,8.54454,,,75.99942,14.552765,,,,,SD,,,,,,,,,,,,,,,,,Digitized from Figure 2a,"Gradient not as predicted because authors compare cool and warm temperatures against a ""common intermediate temperature"" to which hosts were previously acclimated. Error type not explicit in figure legend, SD used in Fig 1 and assumed here"
85,Baron et al. 2014 J Anim Ecol,18,BW,Bombus terrestris,Arthropod,Crithidia bombi,Protozoan,Experimental,pesticide lambda (k)-cyhalothrin,Toxin,Infection intensity (cells/µl faeces),Intensity,Epidemiological,yes,Comparison,Control,Pesticide,20,18,27942,5957,,,33809,8065,,,,,SE,,,,,,,,,,,,,,,,,Appendix S6,Recorded at 7 dpi
86,Baron et al. 2014 J Anim Ecol,18,BW,Bombus terrestris,Arthropod,Crithidia bombi,Protozoan,Experimental,pesticide lambda (k)-cyhalothrin,Toxin,Infection prevalence,Prevalence,Epidemiological,yes,Contingency table,Control,Pesticide,22,19,,,,,,,,,20,18,OR,,,,,,,,,,,,,,,,,Appendix S6,Recorded at 7 dpi
87,Baron et al. 2014 J Anim Ecol,18,BW,Bombus terrestris,Arthropod,Crithidia bombi,Protozoan,Experimental,pesticide lambda (k)-cyhalothrin,Toxin,Mortality,Survivorship,Infected demographic,yes,Contingency table,Control,Pesticide,21,20,,,,,,,,,21,20,OR,,,,,,,,,,,,,,,,,Digitized from Figure 2a,"Digitized at 7 dpi, when infection intensitiy is recorded. Sample size in Table S2"
88,Baron et al. 2014 J Anim Ecol,18,BW,Bombus terrestris,Arthropod,Crithidia bombi,Protozoan,Experimental,pesticide lambda (k)-cyhalothrin,Toxin,Mortality,Survivorship,Uninfected demographic,yes,Contingency table,Control,Pesticide,28,24,,,,,,,,,28,23,OR,,,,,,,,,,,,,,,,,Digitized from Figure 2a,"Digitized at 7 dpi, when infection intensitiy is recorded. Sample size in Table S3"
89,Echaubard et al. 2014 Evol Appl,19,BW,Lithobates pipiens,Amphibian,"Frog Virus3â pooled strains azacR, SsMev and wt-FV3",Virus,Experimental,Temperature,Environment,Probability of infection,Prevalence,Epidemiological,yes,Comparison,Low_14C,High_22C,108,108,0.387874,0.0225465,,,0.264526,0.01712591,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Gradient direction assumed by default. I pooled three Virusstrains in R to match mortality data. Sample size is not exact, assuming average in figure legend, parasite load and mortality measured roughly over the same 3 week period"
90,Echaubard et al. 2014 Evol Appl,20,BW,Lithobates sylvaticus,Amphibian,"Frog Virus3â pooled strains azacR, SsMev and wt-FV3 and genotypes WF1 and WF2",Virus,Experimental,Temperature,Environment,Probability of infection,Prevalence,Epidemiological,yes,Comparison,Low_14C,High_22C,216,216,0.497533,0.01855183,,,0.411417,0.01699127,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 1,"Gradient direction assumed by default. I pooled three Virusstrains in R to match mortality data. Sample size is not exact, assuming average in figure legend, parasite load and mortality measured roughly over the same 3 week period"
91,Echaubard et al. 2014 Evol Appl,19,BW,Lithobates pipiens,Amphibian,"Frog Virus3â pooled strains azacR, SsMev and wt-FV3",Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,yes,Comparison,Low_14C,High_22C,96,96,0.714407,0.08601835,,,0.263653,0.10666359,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,"three Virusstrains and two host genotypes pooled by authors. Sample size is not exact, assuming average in figure legend, parasite load and mortality measured roughly over the same 3 week period"
92,Echaubard et al. 2014 Evol Appl,20,BW,Lithobates sylvaticus,Amphibian,"Frog Virus3â pooled strains azacR, SsMev and wt-FV3 and genotypes WF1 and WF2",Virus,Experimental,Temperature,Environment,Mortality,Survivorship,Infected demographic,yes,Comparison,Low_14C,High_22C,96,96,0.653334,0.08258106,,,0.489888,0.09978897,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,"Gradient direction assumed by default. Three Virusstrains and two host genotypes pooled by authors. Sample size is not exact, assuming average in figure legend, parasite load and mortality measured roughly over the same 3 week period"
93,Schoebel et al. 2014 PloS one,21,BW,Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food level,Resource,Spore count,Intensity,Epidemiological,yes,GLM,2abs,"1, 0.5 and 0.25 abs",36,108,,,,,,,,,,,,,,,0.487,132,,,,,,,,,,,,Table 1,"ln transformed GLM. Highest of four food levels treated as control, sample size in methods p4, Epidemiologicaland host demographicresponses recorded over the same 35 day period. There is also a density treatment and interaction, so the total df in the numerator is 3+2+6 = 11, in the denominator: 144-11-1 = 132"
94,Schoebel et al. 2014 PloS one,21,BW,Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food level,Resource,Fecundity,Fecundity,Infected demographic,yes,Comparison,2abs,1abs,36,36,8.794963,0.387224,,,9.152851,0.352015,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,"Gradient direction assumed by default. Highest of four food levels treated as control, sample size in methods p4, Epidemiologicaland host demographicresponses recorded over the same 35 day period"
95,Schoebel et al. 2014 PloS one,21,BW,Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food level,Resource,Fecundity,Fecundity,Infected demographic,yes,Comparison,2abs,0.5abs,36,36,8.794963,0.387224,,,7.645017,0.2777063,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,"Gradient direction assumed by default. Highest of four food levels treated as control, sample size in methods p4, Epidemiologicaland host demographicresponses recorded over the same 35 day period"
96,Schoebel et al. 2014 PloS one,21,BW,Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food level,Resource,Fecundity,Fecundity,Infected demographic,yes,Comparison,2abs,0.25abs,36,36,8.794963,0.387224,,,7.068108,0.2346736,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,"Gradient direction assumed by default. Highest of four food levels treated as control, sample size in methods p4, Epidemiologicaland host demographicresponses recorded over the same 35 day period"
97,Schoebel et al. 2014 PloS one,21,BW,Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food level,Resource,Fecundity,Fecundity,Uninfected demographic,yes,Comparison,2abs,1abs,36,36,9.893253,0.199479,,,9.914774,0.187745,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,"Gradient direction assumed by default. Highest of four food levels treated as control, sample size in methods p4, Epidemiologicaland host demographicresponses recorded over the same 35 day period"
98,Schoebel et al. 2014 PloS one,21,BW,Daphnia magna,Arthropod,Pasteuria ramosa,Bacteria,Experimental,Food level,Resource,Fecundity,Fecundity,Uninfected demographic,yes,Comparison,2abs,0.5abs,36,36,9.893253,0.199479,,,9.967569,0.16818,,,,,SE,,,,,,,,,,,,,,,,,Digitized from Figure 4,"Gradient direction assumed by default. Highest of four food levels treated as control, sample size in methods p4, Epidemiologicaland host demographicresponses recorded over the same 35 day period"
